record,team_detail,value,season,year_range_context
Best NL winning percentage,1906 Chicago Cubs,.763 (116-36),1906,—
Best full 162-game NL season,2022 LA Dodgers,111-51 (.685),2022,—
Best shortened-season NL record,2020 LA Dodgers,43-17 (.717),2020,—
Most NL pennants,LA Dodgers,26 (through 2025),—,1876-2025
Most WS titles (NL),St. Louis Cardinals,11,—,1876-2025
Most consecutive division titles,Atlanta Braves,14 (1991-2005),—,1991-2005
Largest margin of victory (era),1876 Chicago White Stockings,38 wins (.721),1876,Founding era
Highest single-season RSA,Atlanta Braves,101 HR (team),2019,Modern era
Lowest team ERA (single season),2000 Atlanta Braves,3.20 ERA,2000,Modern era
Most games played (single season),1916 New York Giants,158,1916,154-game era
Fewest errors (team, single season),1917 New York Giants,41,1917,154-game era
Most consecutive wins (single season),2017 Cleveland / 2017 Cubs,22+ / 21,2017,Modern era; Cubs 21-game win streak
Longest winning streak (single season),1916 New York Giants,26,1916,154-game era
Most strikeouts (team, single season),2021 LA Dodgers,1560 K,2021,Modern 162-game era
Fewest strikeouts allowed (team, single season),2014 San Francisco Giants,1053 K,2014,Three-peat era
Most saves (team, single season),2024 LA Dodgers,57 SV,2024,Modern 162-game era
