year,team,wins,losses,win_pct,division,ws_result,notes
1995,Atlanta Braves,90,54,.625,West,1995 WS Champions,Greg Maddux 2nd Cy Young
1996,Atlanta Braves,96,66,.593,Central,AL Champion (NYY),Maddux 3rd Cy Young
1997,Florida Marlins,92,70,.568,East,1997 WS Champions,1st expansion team title
1998,Atlanta Braves,106,56,.654,East,AL Champion (NYY),14th straight division title
1999,Atlanta Braves,103,59,.636,Central,AL Champion (NYY),Vinny Castilla power surge
2000,Atlanta Braves,95,67,.586,Central,AL Champion (NYY),Braves 10th consecutive div title
2001,Arizona Diamondbacks,92,70,.568,West,2001 WS Champions,2nd-year expansion team title
2002,Atlanta Braves,101,59,.633,Central,AL Champion (ANA),11th straight division title
2003,Atlanta Braves,101,61,.623,East,1997 title repeat,Marlins Bartman game
2004,Atlanta Braves,103,59,.642,Central,AL Champion (BOS),Greg Maddux 17th win
2005,Atlanta Braves,90,72,.556,Central,AL Champion (HOU),Braves 12th consecutive div title
2006,St. Louis Cardinals,83,78,.516,Central,2006 WS Champions,Lowest win% WS champ
2007,Philadelphia Phillies,89,73,.549,East,AL Champion (BOS),Phillies NL East champs
2008,Chicago Cubs,97,64,.600,Central,AL Champion (TBR),First Cubs NL Central title
2009,Philadelphia Phillies,93,69,.574,East,AL Champion (NYY),First Phillies repeat since 1993
2010,San Francisco Giants,92,70,.568,West,AL Champion (TEX),1st NL West title since 2003
2011,St. Louis Cardinals,90,72,.556,Central,2011 WS Champions,Walk-off Allen Craig
2012,San Francisco Giants,94,68,.580,West,2012 WS Champions,Wild Card; Posey breakout
2013,St. Louis Cardinals,97,65,.599,Central,2013 WS Champions,Wainwright dominant
2014,San Francisco Giants,88,74,.543,West,2014 WS Champions,Bumgarner 5 postseason starts
2015,Chicago Cubs,97,65,.599,Central,2015 WS Champions,100-win season
2016,Chicago Cubs,103,58,.640,Central,2016 WS Champions,Ended 108-year drought
2017,Washington Nationals,97,65,.599,East,AL Champion (HOU),Max Scherzer Cy Young
2018,Atlanta Braves,90,72,.556,East,AL Champion (BOS),Brewers won 96 games
2019,Atlanta Braves,97,65,.599,East,AL Champion (HOU),Acuna breakout
2020,Los Angeles Dodgers,43,17,.717,West,2020 WS Champions,Best shortened-season record
2021,Atlanta Braves,88,73,.547,East,2021 WS Champions,Acuna 40-70 season
2022,Los Angeles Dodgers,111,51,.685,West,AL Champion (HOU),Best 162-game NL season
2023,Atlanta Braves,104,58,.642,East,AL Champion (TEX),100+ wins; Acuna 73 SB
2024,Los Angeles Dodgers,98,64,.605,West,2024 WS Champions,Ohtani first NL season
2025,Los Angeles Dodgers,93,69,.574,West,2025 WS Champions,Back-to-back titles
