year,west_winner,west_wins,west_losses,central_winner,central_wins,central_losses,east_winner,east_wins,east_losses,ws_winner,notes
2025,Los Angeles Dodgers,93,69,Milwaukee Brewers,97,65,Philadelphia Phillies,96,66,Los Angeles Dodgers,Back-to-back; Ohtani leads NL
2024,Los Angeles Dodgers,98,64,Milwaukee Brewers,93,69,Atlanta Braves,89,73,Los Angeles Dodgers,Ohtani first NL season; sweep
2023,Los Angeles Dodgers,100,62,Milwaukee Brewers,92,70,Atlanta Braves,104,58,TX Rangers (AL),Braves & Dodgers both 100+
2022,Los Angeles Dodgers,111,51,St. Louis Cardinals,93,69,Atlanta Braves,101,61,HOU (AL),Dodgers 111 wins best NL season
2021,Los Angeles Dodgers,106,56,Milwaukee Brewers,95,67,Atlanta Braves,88,73,Atlanta Braves,Braves overcome 3-1 deficit
2020,Los Angeles Dodgers,43,17,Cincinnati Reds,31,29,Atlanta Braves,35,25,Los Angeles Dodgers,Shortened season; Dodgers .717
2019,Los Angeles Dodgers,106,56,St. Louis Cardinals,91,71,Atlanta Braves,97,65,HOU (AL),Acuna emergence
2018,Los Angeles Dodgers,92,70,Milwaukee Brewers,96,67,Atlanta Braves,90,72,BOS (AL),Brewers 96 wins
2017,Los Angeles Dodgers,104,58,Chicago Cubs,92,70,Washington Nationals,97,65,HOU (AL),Max Scherzer Cy Young
2016,Los Angeles Dodgers,91,71,Chicago Cubs,103,58,Washington Nationals,95,67,Chicago Cubs,Ended 108-year drought
2015,Los Angeles Dodgers,90,72,St. Louis Cardinals,100,62,Washington Nationals,83,79,Chicago Cubs,100-win Cubs
2014,Los Angeles Dodgers,94,68,St. Louis Cardinals,90,72,Washington Nationals,96,66,San Francisco Giants,5th Giants title in 7 years
2013,Los Angeles Dodgers,92,70,St. Louis Cardinals,97,65,Atlanta Braves,96,66,San Francisco Giants,Cards walk-off to title
2012,Los Angeles Dodgers,86,76,St. Louis Cardinals,88,74,Atlanta Braves,94,68,San Francisco Giants,Wild Card; Posey breakout
2011,Los Angeles Dodgers,89,73,St. Louis Cardinals,90,72,Atlanta Braves,89,73,St. Louis Cardinals,Allen Craig walk-off
2010,Los Angeles Dodgers,86,76,Pittsburgh Pirates,98,64,Atlanta Braves,88,74,San Francisco Giants,1st NL West title since 2003
2009,Los Angeles Dodgers,85,77,St. Louis Cardinals,91,71,Philadelphia Phillies,93,69,Philadelphia Phillies,Phillies repeat
2008,San Diego Padres,84,78,Chicago Cubs,97,64,Philadelphia Phillies,90,72,Philadelphia Phillies,Phillies backstop
